Rank,Club,Country,Level,Elo,From,To
1,Arsenal,ENG,1,2063.7578125,2026-05-31,2026-08-21
2,Man City,ENG,1,1970.85388184,2026-07-05,2026-08-23
3,Paris SG,FRA,1,1967.87854004,2026-07-05,2026-08-23
4,Barcelona,ESP,1,1951.58874512,2026-07-05,2026-08-27
5,Real Madrid,ESP,1,1922.91210938,2026-07-05,2026-08-26
6,Aston Villa,ENG,1,1920.97009277,2026-07-05,2026-08-23
7,Man United,ENG,1,1915.31591797,2026-07-05,2026-08-22
8,Liverpool,ENG,1,1910.79907227,2026-07-05,2026-08-23
9,Inter,ITA,1,1888.60229492,2026-07-05,2026-08-22
10,Bournemouth,ENG,1,1871.97009277,2026-07-05,2026-08-23
11,Sporting,POR,1,1847.92749023,2026-07-05,2026-08-29
12,Brighton,ENG,1,1842.01037598,2026-07-05,2026-08-23
13,Newcastle,ENG,1,1837.53112793,2026-07-05,2026-08-23
14,Brentford,ENG,1,1836.59033203,2026-07-05,2026-08-22
15,Dortmund,GER,1,1834.76879883,2026-07-05,2026-08-29
16,Chelsea,ENG,1,1831.10351562,2026-07-05,2026-08-24
17,Atletico,ESP,1,1827.67553711,2026-07-05,2026-08-19
18,Benfica,POR,1,1823.50866699,2026-07-05,2026-07-23
19,Forest,ENG,1,1822.17016602,2026-07-05,2026-08-22
20,Fulham,ENG,1,1813.09558105,2026-07-05,2026-08-24
21,Porto,POR,1,1805.94519043,2026-07-05,2026-08-29
22,Leverkusen,GER,1,1804.02612305,2026-07-05,2026-08-29
23,Crystal Palace,ENG,1,1803.82470703,2026-07-05,2026-08-22
24,Everton,ENG,1,1803.43066406,2026-07-05,2026-08-22
25,Leeds,ENG,1,1797.3885498,2026-07-05,2026-08-22
26,Roma,ITA,1,1793.45080566,2026-07-05,2026-08-24
27,Napoli,ITA,1,1780.29589844,2026-07-05,2026-08-22
28,Tottenham,ENG,1,1777.30895996,2026-07-05,2026-08-22
29,Juventus,ITA,1,1772.25634766,2026-07-05,2026-08-23
30,West Ham,ENG,2,1768.80200195,2026-07-05,2026-08-16
31,Lens,FRA,1,1767.04333496,2026-07-05,2026-08-22
32,Atalanta,ITA,1,1763.51843262,2026-07-05,2026-08-23
33,RB Leipzig,GER,1,1761.90356445,2026-07-05,2026-08-29
34,Como,ITA,1,1760.02868652,2026-07-05,2026-08-22
35,Villarreal,ESP,1,1759.34521484,2026-07-05,2026-08-16
36,PSV,NED,1,1759.13476562,2026-07-05,2026-08-08
37,Brugge,BEL,1,1757.43847656,2026-07-05,2026-08-07
38,Milan,ITA,1,1750.04211426,2026-07-05,2026-08-23
39,Betis,ESP,1,1747.13122559,2026-07-05,2026-08-25
40,Lille,FRA,1,1743.70874023,2026-07-05,2026-08-23
